,date,count,time_stamp,type
121,2010-05-30,1.0,1275148800.0,c9
122,2010-05-31,1.0,1275235200.0,c9
123,2010-06-01,1.0,1275321600.0,c9
124,2010-06-03,1.0,1275494400.0,c9
125,2010-06-07,1.0,1275840000.0,c9
126,2010-06-22,1.0,1277136000.0,c9
127,2010-07-06,1.0,1278345600.0,c9
128,2010-09-08,3.0,1283875200.0,c9
129,2010-09-13,4.0,1284307200.0,c9
130,2010-09-14,1.0,1284393600.0,c9
131,2010-09-15,2.0,1284480000.0,c9
132,2010-09-16,3.0,1284566400.0,c9
133,2010-09-17,3.0,1284652800.0,c9
134,2010-09-20,1.0,1284912000.0,c9
135,2010-09-21,2.0,1284998400.0,c9
136,2010-09-25,3.0,1285344000.0,c9
137,2010-09-26,4.0,1285430400.0,c9
138,2010-09-27,4.0,1285516800.0,c9
139,2010-09-28,5.0,1285603200.0,c9
140,2010-09-29,4.0,1285689600.0,c9
141,2010-10-08,1.0,1286467200.0,c9
142,2010-10-09,5.0,1286553600.0,c9
143,2010-10-10,6.0,1286640000.0,c9
144,2010-10-11,11.0,1286726400.0,c9
145,2010-10-12,11.0,1286812800.0,c9
146,2010-10-13,11.0,1286899200.0,c9
147,2010-10-14,10.0,1286985600.0,c9
148,2010-10-15,15.0,1287072000.0,c9
149,2010-10-16,2.0,1287158400.0,c9
150,2010-10-17,5.0,1287244800.0,c9
151,2010-10-18,16.0,1287331200.0,c9
152,2010-10-19,17.0,1287417600.0,c9
153,2010-10-20,14.0,1287504000.0,c9
154,2010-10-21,16.0,1287590400.0,c9
155,2010-10-22,19.0,1287676800.0,c9
156,2010-10-23,12.0,1287763200.0,c9
157,2010-10-24,3.0,1287849600.0,c9
158,2010-10-25,10.0,1287936000.0,c9
159,2010-10-26,14.0,1288022400.0,c9
160,2010-10-27,16.0,1288108800.0,c9
161,2010-10-28,16.0,1288195200.0,c9
162,2010-10-29,12.0,1288281600.0,c9
163,2010-10-30,7.0,1288368000.0,c9
164,2010-10-31,7.0,1288454400.0,c9
165,2010-11-01,12.0,1288540800.0,c9
166,2010-11-02,12.0,1288627200.0,c9
167,2010-11-03,17.0,1288713600.0,c9
168,2010-11-04,15.0,1288800000.0,c9
169,2010-11-05,13.0,1288886400.0,c9
170,2010-11-06,11.0,1288972800.0,c9
171,2010-11-07,6.0,1289059200.0,c9
172,2010-11-08,14.0,1289145600.0,c9
173,2010-11-09,12.0,1289232000.0,c9
174,2010-11-10,13.0,1289318400.0,c9
175,2010-11-11,13.0,1289404800.0,c9
176,2010-11-12,15.0,1289491200.0,c9
177,2010-11-13,9.0,1289577600.0,c9
178,2010-11-14,6.0,1289664000.0,c9
179,2010-11-15,4.0,1289750400.0,c9
180,2010-11-16,6.0,1289836800.0,c9
181,2010-11-17,6.0,1289923200.0,c9
182,2010-11-18,2.0,1290009600.0,c9
183,2010-11-19,8.0,1290096000.0,c9
184,2010-11-20,5.0,1290182400.0,c9
185,2010-11-21,1.0,1290268800.0,c9
186,2010-11-22,10.0,1290355200.0,c9
187,2010-11-23,10.0,1290441600.0,c9
188,2010-11-24,10.0,1290528000.0,c9
189,2010-11-25,8.0,1290614400.0,c9
190,2010-11-26,9.0,1290700800.0,c9
191,2010-11-27,6.0,1290787200.0,c9
192,2010-11-28,4.0,1290873600.0,c9
193,2010-11-29,4.0,1290960000.0,c9
194,2010-11-30,3.0,1291046400.0,c9
195,2010-12-01,8.0,1291132800.0,c9
196,2010-12-02,9.0,1291219200.0,c9
197,2010-12-03,5.0,1291305600.0,c9
198,2010-12-04,1.0,1291392000.0,c9
199,2010-12-05,4.0,1291478400.0,c9
200,2010-12-06,6.0,1291564800.0,c9
201,2010-12-07,6.0,1291651200.0,c9
202,2010-12-08,7.0,1291737600.0,c9
203,2010-12-09,4.0,1291824000.0,c9
204,2010-12-10,5.0,1291910400.0,c9
205,2010-12-11,7.0,1291996800.0,c9
206,2010-12-15,5.0,1292342400.0,c9
207,2010-12-16,2.0,1292428800.0,c9
208,2010-12-17,4.0,1292515200.0,c9
209,2010-12-19,1.0,1292688000.0,c9
210,2010-12-20,2.0,1292774400.0,c9
211,2010-12-21,1.0,1292860800.0,c9
212,2010-12-22,1.0,1292947200.0,c9
213,2010-12-23,2.0,1293033600.0,c9
214,2010-12-27,1.0,1293379200.0,c9
215,2010-12-28,2.0,1293465600.0,c9
216,2010-12-29,1.0,1293552000.0,c9
217,2011-01-04,1.0,1294070400.0,c9
218,2011-02-25,1.0,1298563200.0,c9
219,2011-02-27,1.0,1298736000.0,c9
220,2011-03-01,1.0,1298908800.0,c9
221,2011-03-02,2.0,1298995200.0,c9
222,2011-03-03,2.0,1299081600.0,c9
223,2011-03-04,3.0,1299168000.0,c9
224,2011-03-05,1.0,1299254400.0,c9
225,2011-03-07,5.0,1299427200.0,c9
226,2011-03-08,4.0,1299513600.0,c9
227,2011-03-09,6.0,1299600000.0,c9
228,2011-03-10,2.0,1299686400.0,c9
229,2011-03-12,1.0,1299859200.0,c9
230,2011-03-14,5.0,1300032000.0,c9
231,2011-03-15,2.0,1300118400.0,c9
232,2011-03-16,1.0,1300204800.0,c9
233,2011-03-17,1.0,1300291200.0,c9
234,2011-03-18,154.5,1300377600.0,c9
235,2011-03-19,1.0,1300464000.0,c9
236,2011-03-21,1.0,1300636800.0,c9
237,2011-03-22,1.0,1300723200.0,c9
238,2011-03-23,4.0,1300809600.0,c9
239,2011-03-24,2.0,1300896000.0,c9
240,2011-03-25,1.0,1300982400.0,c9
241,2011-03-28,2.0,1301241600.0,c9
242,2011-03-29,1.0,1301328000.0,c9
243,2011-03-30,4.0,1301414400.0,c9
244,2011-04-01,1.0,1301587200.0,c9
245,2011-04-06,1.0,1302019200.0,c9
246,2011-04-07,1.0,1302105600.0,c9
247,2011-04-08,1.0,1302192000.0,c9
248,2011-04-10,1.0,1302364800.0,c9
249,2011-04-11,1.0,1302451200.0,c9
250,2011-04-12,3.0,1302537600.0,c9
251,2011-04-13,2.0,1302624000.0,c9
252,2011-04-14,2.0,1302710400.0,c9
253,2011-04-15,1.0,1302796800.0,c9
254,2011-04-17,1.0,1302969600.0,c9
255,2011-04-18,1.0,1303056000.0,c9
256,2011-04-20,2.0,1303228800.0,c9
257,2011-04-21,3.0,1303315200.0,c9
258,2011-04-22,2.0,1303401600.0,c9
259,2011-04-25,3.0,1303660800.0,c9
260,2011-04-26,2.0,1303747200.0,c9
261,2011-04-27,1.0,1303833600.0,c9
262,2011-05-05,1.0,1304524800.0,c9
263,2011-05-09,3.0,1304870400.0,c9
264,2011-05-11,2.0,1305043200.0,c9
265,2011-05-12,1.0,1305129600.0,c9
266,2011-05-13,1.0,1305216000.0,c9
267,2011-05-16,2.0,1305475200.0,c9
268,2011-05-18,1.0,1305648000.0,c9
269,2011-05-19,1.0,1305734400.0,c9
270,2011-05-20,2.0,1305820800.0,c9
271,2011-05-23,1.0,1306080000.0,c9
272,2011-05-24,3.0,1306166400.0,c9
273,2011-05-25,2.0,1306252800.0,c9
274,2011-05-26,1.0,1306339200.0,c9
275,2011-05-27,2.0,1306425600.0,c9
276,2011-05-30,2.0,1306684800.0,c9
277,2011-05-31,2.0,1306771200.0,c9
